name,smiles,name_id,count
N1-Acetylspermidine,CC(=O)NCCCNCCCCN,N1aspmd_c,13
N-Methyltryptophan,Cc1[nH]c2ccccc2c1C[C@H](N)C(=O)O,Nmtrp_c,16
S-Formylglutathione,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O,Sfglutth_c,22
5-Dehydro-4-deoxy-D-glucarate,O=C(O)C(=O)C[C@H](O)[C@@H](O)C(=O)O,5dh4dglc_c,13
Aminoacetaldehyde,NCC=O,aacald_c,4
5'-deoxyribose,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,5drib_c,9
Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,aacoa_c,54
5-Methylthio-5-deoxy-D-ribose 1-phosphate,CSC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O,5mdr1p_c,15
3  CMP C9H12N3O8P,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1,3cmp_e,21
Aminoacetone,CC(=O)CN,aact_c,5
3-Dehydro-L-gulonate,O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)CO,3dhguln_c,13
Silver,[Ag+],ag_e,1
Acetate,CC(=O)O,ac_c,4
Adenosine-GDP-cobinamide,CC1=C2N3[C@H]([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]2O)[C@]2(C)[N+]4=C(C(C)=C5[N+]6=C(C=C7[N+](=C1[C@@H](CCC(N)=O)C7(C)C)[Co-2]364C[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)[C@]5(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,agdpcbi_c,113
Agmatine,N=C(N)NCCCCN,agm_c,9
Acetoacetate,C=C(O)CC(=O)O,acac_c,7
L-Aspartate,N[C@@H](CC(=O)O)C(=O)O,asp__L_c,9
S-Adenosyl-L-homocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)[O-])[C@@H](O)[C@H]1O,ahcys_c,26
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,ahdt_c,30
L-Aspartate 4-semialdehyde,N[C@@H](CC=O)C(=O)[O-],aspsa_c,8
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N,aicar_c,22
5-amino-1-(5-phospho-D-ribosyl)imidazole,Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,air_c,19
L-Allo-threonine,C[C@H](O)[C@H]([NH3+])C(=O)[O-],athr__L_c,8
2-Oxoglutarate,O=C(O)CCC(=O)C(=O)[O-],akg_c,10
ATP C10H12N5O13P3,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,atp_c,31
N-Acetylanthranilate,CC(=O)Nc1ccccc1C(=O)[O-],acanth_c,13
